point_index,point_phase,point_tag,route,temperature_c,hgen_temp_c,humidity_pct,co2_ppm,co2_group,cylinder_nominal_ppm,pressure_target_hpa,execution_status,qc_valid,recommendation,reason,raw_sample_count,cleaned_sample_count,usable_sample_count,removed_sample_count,total_frames,valid_frames,frames_with_data,frame_status,pressure_gauge_hpa_mean,pressure_reference_status,thermometer_temp_c_mean,thermometer_reference_status,reference_quality,dew_point_c_mean,AnalyzerCoverage,UsableAnalyzers,ExpectedAnalyzers,PointIntegrity,MissingAnalyzers,UnusableAnalyzers,stability_time_s,total_time_s,pressure_mode,pressure_target_label,pressure_selection_token,postseal_expected_dewpoint_c,postseal_actual_dewpoint_c,postseal_physical_delta_c,postseal_physical_qc_status,postseal_physical_qc_reason,postseal_guard_status,postseal_guard_flags,postseal_timeout_policy,postseal_timeout_blocked,postsample_late_rebound_status,postsample_late_rebound_reason,dewpoint_gate_result,flush_gate_status,flush_gate_reason,dewpoint_rebound_detected,rebound_rise_c,rebound_note,preseal_dewpoint_c,preseal_temp_c,preseal_rh_pct,preseal_pressure_hpa,preseal_trigger_overshoot_hpa,preseal_vent_off_begin_to_route_sealed_ms,pressure_gauge_stale_count,pressure_gauge_total_count,pressure_gauge_stale_ratio
6,co2,co2_groupa_400ppm_1000hpa,co2,20.0,,,400.0,A,400.0,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.018149699999867153,0.07386500000029628,sealed_controlled,1000hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
6,co2,co2_groupb_1000ppm_1000hpa,co2,20.0,,,1000.0,B,1000.0,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.020200299999942217,0.07432840000001306,sealed_controlled,1000hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
6,h2o,h2o_20c_40rh_1000hpa,h2o,20.0,20.0,40.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.029787899999973888,0.08805570000004082,sealed_controlled,1000hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
6,h2o,h2o_20c_70rh_1000hpa,h2o,20.0,20.0,70.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.018131399999674613,0.07285849999971106,sealed_controlled,1000hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
7,co2,co2_groupa_0ppm_800hpa,co2,20.0,,,0.0,A,0.0,800.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.02096480000000156,0.07461240000020553,sealed_controlled,800hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
7,co2,co2_groupa_400ppm_800hpa,co2,20.0,,,400.0,A,400.0,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.027297399999952177,0.08269019999988814,sealed_controlled,800hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
7,co2,co2_groupb_1000ppm_800hpa,co2,20.0,,,1000.0,B,1000.0,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.021705300000121497,0.07388769999988654,sealed_controlled,800hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
7,h2o,h2o_20c_40rh_800hpa,h2o,20.0,20.0,40.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.03587809999999081,0.08897789999991801,sealed_controlled,800hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
7,h2o,h2o_20c_70rh_800hpa,h2o,20.0,20.0,70.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.018077199999879667,0.07221339999978227,sealed_controlled,800hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
8,co2,co2_groupa_0ppm_1100hpa,co2,20.0,,,0.0,A,0.0,1100.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,11.0,8/8,8,8,complete,,,0.022973600000113947,0.07565920000024562,sealed_controlled,1100hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
8,co2,co2_groupa_400ppm_1100hpa,co2,20.0,,,400.0,A,400.0,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,11.0,8/8,8,8,complete,,,0.021693499999855703,0.07431809999980032,sealed_controlled,1100hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
8,co2,co2_groupb_1000ppm_1100hpa,co2,20.0,,,1000.0,B,1000.0,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,11.0,8/8,8,8,complete,,,0.02629960000012943,0.0803857999999309,sealed_controlled,1100hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
8,h2o,h2o_20c_40rh_1100hpa,h2o,20.0,20.0,40.0,,,,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.02120210000020961,0.07741729999997915,sealed_controlled,1100hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
8,h2o,h2o_20c_70rh_1100hpa,h2o,20.0,20.0,70.0,,,,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.019053399999847898,0.07165179999992688,sealed_controlled,1100hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
10,co2,co2_groupa_0ppm_600hpa,co2,20.0,,,0.0,A,0.0,600.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.019345100000009552,0.07205019999992146,sealed_controlled,600hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
10,co2,co2_groupa_400ppm_600hpa,co2,20.0,,,400.0,A,400.0,600.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.02105970000002344,0.07375530000035724,sealed_controlled,600hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
10,co2,co2_groupb_1000ppm_600hpa,co2,20.0,,,1000.0,B,1000.0,600.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.022278999999798543,0.07456249999995634,sealed_controlled,600hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
10,h2o,h2o_20c_40rh_600hpa,h2o,20.0,20.0,40.0,,,,600.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.019661400000131835,0.07426329999998416,sealed_controlled,600hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
10,h2o,h2o_20c_70rh_600hpa,h2o,20.0,20.0,70.0,,,,600.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,14.0,8/8,8,8,complete,,,0.024329600000328355,0.07824730000038471,sealed_controlled,600hPa,,,14.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
